chunk_vid_id,chunk_vid_duration,chunk_vid_dimention,chunk_vid_definition,chunk_vid_caption,chunk_vid_licensedContent,chunk_vid_projection
n1WpP7iowLc,PT5M5S,2d,hd,FALSE,TRUE,rectangular
0dBIkQ4Mz1M,PT9M35S,2d,hd,FALSE,FALSE,rectangular
d380meD0W0M,PT12M13S,2d,hd,TRUE,TRUE,rectangular
2Vv-BfVoq4g,PT4M40S,2d,hd,FALSE,TRUE,rectangular
0yIWz1XEeyc,PT8M40S,2d,hd,TRUE,TRUE,rectangular
_uM5kFfkhB8,PT9M34S,2d,hd,FALSE,TRUE,rectangular
2kyS6SvSYSE,PT11M18S,2d,hd,FALSE,TRUE,rectangular
JzCsM1vtn78,PT11M13S,2d,hd,TRUE,FALSE,rectangular
H1KBHFXm2Bg,PT5M17S,2d,hd,FALSE,FALSE,rectangular
U3xLOo-CNwo,PT11M4S,2d,hd,FALSE,TRUE,rectangular
FyZMnhUtLfE,PT43M5S,2d,hd,FALSE,TRUE,rectangular
7MxiQ4v0EnE,PT3M40S,2d,hd,FALSE,TRUE,rectangular
LUzsOyWp9lw,PT10M23S,2d,hd,TRUE,TRUE,rectangular
AS9-ITLhQxo,PT13M1S,2d,hd,TRUE,TRUE,rectangular
gifPYwArCVQ,PT6M19S,2d,hd,FALSE,FALSE,rectangular
8NHA23f7LvU,PT2M4S,2d,hd,FALSE,TRUE,rectangular
fy-CuCzaPp8,PT3M7S,2d,hd,TRUE,TRUE,rectangular
kzwfHumJyYc,PT27S,2d,hd,FALSE,TRUE,rectangular
nc99ccSXST0,PT10M8S,2d,hd,TRUE,TRUE,rectangular
puqaWrEC7tY,PT7M10S,2d,hd,TRUE,FALSE,rectangular
6H3wVsceoS0,PT3M37S,2d,hd,FALSE,TRUE,rectangular
PRlmRnU9qts,PT3M17S,2d,hd,FALSE,FALSE,rectangular
wuf2KinLxZ8,PT7M39S,2d,hd,TRUE,TRUE,rectangular
aVTAU_4i9AY,PT12M16S,2d,hd,FALSE,TRUE,rectangular
7779JdxVAg0,PT10M8S,2d,hd,FALSE,TRUE,rectangular
j67FgNEvyh8,PT32S,2d,hd,FALSE,TRUE,rectangular
oQH_rtoHsdQ,PT11M4S,2d,hd,FALSE,FALSE,rectangular
m-nZmgHWoEw,PT8M5S,2d,hd,TRUE,TRUE,rectangular
V4Uuxg6jmbo,PT18M33S,2d,hd,TRUE,TRUE,rectangular
WuTFI5qftCE,PT11M52S,2d,hd,TRUE,TRUE,rectangular
wczm1faUZ1Q,PT8M15S,2d,hd,TRUE,TRUE,rectangular
uEu5--lyNCE,PT2H9M48S,2d,hd,FALSE,TRUE,rectangular
cTBnDJ77kr0,PT1H33M9S,2d,hd,FALSE,TRUE,rectangular
FSdg3UVuBKE,PT6M59S,2d,hd,TRUE,FALSE,rectangular
6xT1Xc7_X3k,PT12M,2d,hd,FALSE,FALSE,rectangular
GBVxEpQr8R8,PT7M36S,2d,hd,TRUE,TRUE,rectangular
JwboxqDylgg,PT3H32M8S,2d,hd,FALSE,FALSE,rectangular
t3FYESkzjUI,PT23S,2d,hd,FALSE,FALSE,rectangular
0gLWN3uq74o,PT16M15S,2d,hd,FALSE,TRUE,rectangular
